id	source	line	level	requirement	implementation	evidence	status
ORPC-1.4-0015	spec-template.md	95	MUST	Where OpenRPC tooling renders rich text it MUST support, at a minimum, markdown syntax as described by [GitHub Flavored Markdown](https://github.github.com/gfm/).	docs/compatibility.md:Tooling scope	internal/specification/evidence_test.go:TestConformanceEvidenceCoversEveryNormativeStatement	not-applicable
ORPC-1.4-0016	spec-template.md	95	MAY	Tooling MAY choose to ignore some GitHub Flavored Markdown features to address security concerns.	docs/compatibility.md:Tooling scope	internal/specification/evidence_test.go:TestConformanceEvidenceCoversEveryNormativeStatement	not-applicable
ORPC-1.4-0017	spec-template.md	99	MUST	The method MUST be named `rpc.discover`.	discovery/discovery.go:MethodName	discovery/discovery_test.go:TestNewServiceRequiresProvider	complete
ORPC-1.4-0018	spec-template.md	121	SHOULD	There SHOULD be an example that uses every concept of the spec.	specification.go:MetaSchema	validate/metaschema_test.go:TestPinnedOfficialExamplesAreExplicitlyOutsideCurrentVersionLine	not-applicable
ORPC-1.4-0019	spec-template.md	125	MUST	Each field in the Specification MUST be included in the OpenRPC MetaSchema, including all constraints that are possible to model with [Draft 07 JSON Schema](https://json-schema.org/draft-07/schema).	specification.go:MetaSchema	internal/specification/manifest_test.go:TestVerifyPinnedInputsChecksEveryManifestDigest	complete
ORPC-1.4-0020	spec-template.md	130	MUST	The Schema Objects MUST follow the specifications outline in the [JSON Schema Specification 7](https://json-schema.org/draft-07/json-schema-release-notes.html)	validate/schema.go:validator.validateSchemas	validate/validate_test.go:TestDocumentCompilesEveryDraft7SchemaObject	complete
ORPC-1.4-0021	spec-template.md	133	MAY	This object MAY be extended with [Specification Extensions](#specification-extensions).	fields.go:NewExtensions	serialization_test.go:TestMarshalCanonicalIsStableAcrossObjectOrderAndWhitespace	complete
ORPC-1.4-0022	schema.json#/definitions/contactObject/properties/email/description	0	MUST	MUST be in the format of an email address.	validate/validate.go:validator.validateMetadata	validate/validate_test.go:TestValidationChecksNormativeEmailAndURIFormats	complete
ORPC-1.4-0023	schema.json#/definitions/contactObject/properties/url/description	0	MUST	MUST be in the format of a URL.	validate/validate.go:validator.validateMetadata	validate/validate_test.go:TestValidationChecksNormativeEmailAndURIFormats	complete
ORPC-1.4-0024	schema.json#/definitions/contentDescriptorObject/description	0	MUST	They MUST have a schema.	method.go:NewContentDescriptor	method_test.go:TestReferenceAndContentDescriptorRequiredFields	complete
ORPC-1.4-0025	schema.json#/definitions/contentDescriptorObject/properties/deprecated/description	0	SHOULD	Specifies that the content is deprecated and SHOULD be transitioned out of usage.	method.go:ContentDescriptor.Deprecated	method_test.go:TestMethodPreservesNormativeOptionalSemantics	complete
ORPC-1.4-0026	schema.json#/definitions/contentDescriptorObject/properties/name/description	0	SHALL	If the content described is a method parameter assignable [`by-name`](#method-param-structure), this field SHALL define the parameter's key (ie name).	method.go:ContentDescriptor.Name	method_test.go:TestMethodPreservesNormativeOptionalSemantics	complete
ORPC-1.4-0027	schema.json#/definitions/errorObject/properties/code/description	0	MUST	This MUST be an integer.	integer.go:ParseInteger	method_test.go:TestErrorCodePreservesArbitraryPrecision	complete
ORPC-1.4-0028	schema.json#/definitions/errorObject/properties/code/description	0	SHOULD	These pre-defined errors SHOULD be assumed to be returned from any JSON-RPC api.	docs/compatibility.md:Tooling scope	internal/specification/evidence_test.go:TestConformanceEvidenceCoversEveryNormativeStatement	not-applicable
ORPC-1.4-0029	schema.json#/definitions/errorObject/properties/message/description	0	SHOULD	The message SHOULD be limited to a concise single sentence.	validate/validate.go:validator.validateErrorMessage	validate/validate_test.go:TestDocumentWarnsWhenErrorMessagesAreNotConciseSentences	complete
ORPC-1.4-0030	schema.json#/definitions/externalDocumentationObject/properties/url/description	0	MUST	Value MUST be in the format of a URL.	validate/validate.go:validator.validateMetadata	validate/validate_test.go:TestValidationChecksExternalDocumentationAtEveryInlineLocation	complete
ORPC-1.4-0031	schema.json#/definitions/infoObject/description	0	MAY	The metadata MAY be used by the clients if needed, and MAY be presented in editing or documentation generation tools for convenience.	metadata.go:NewInfo	metadata_test.go:TestMetadataObjectsPreserveOptionalPresence	complete
ORPC-1.4-0032	schema.json#/definitions/infoObject/properties/termsOfService/description	0	MUST	MUST be in the format of a URL.	validate/validate.go:validator.validateMetadata	validate/validate_test.go:TestValidationChecksNormativeEmailAndURIFormats	complete
ORPC-1.4-0033	schema.json#/definitions/licenseObject/properties/url/description	0	MUST	MUST be in the format of a URL.	validate/validate.go:validator.validateMetadata	validate/validate_test.go:TestValidationChecksNormativeEmailAndURIFormats	complete
ORPC-1.4-0034	schema.json#/definitions/linkObject/properties/method/description	0	MUST	This field MUST resolve to a unique [Method Object](#method-object).	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete
ORPC-1.4-0035	schema.json#/definitions/methodObject/description	0	MUST	It therefore MUST be unique.	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete
ORPC-1.4-0036	schema.json#/definitions/methodObject/properties/deprecated/description	0	SHOULD	Consumers SHOULD refrain from usage of the declared method.	method.go:Method.Deprecated	method_test.go:TestMethodPreservesNormativeOptionalSemantics	complete
ORPC-1.4-0037	schema.json#/definitions/methodObject/properties/errors/description	0	MAY	A list of custom application defined errors that MAY be returned.	method.go:Method.Errors	method_test.go:TestMethodPreservesNormativeOptionalSemantics	complete
ORPC-1.4-0038	schema.json#/definitions/methodObject/properties/errors/description	0	MUST	The Errors MUST have unique error codes.	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete
ORPC-1.4-0039	schema.json#/definitions/methodObject/properties/name/description	0	MUST	The name MUST be unique within the methods array.	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete
ORPC-1.4-0040	schema.json#/definitions/methodObject/properties/params/description	0	MUST NOT	The list MUST NOT include duplicated parameters and therefore require [name](#content-descriptor-name) to be unique.	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete
ORPC-1.4-0041	schema.json#/definitions/methodObject/properties/params/description	0	MUST	All optional params (content descriptor objects with "required": false) MUST be positioned after all required params in the list.	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete
ORPC-1.4-0042	schema.json#/definitions/methodObject/properties/result/description	0	MUST	If defined, it MUST be a Content Descriptor or Reference Object.	method.go:Method.Result	method_test.go:TestMethodPreservesNormativeOptionalSemantics	complete
ORPC-1.4-0043	schema.json#/definitions/methodObject/properties/result/description	0	MUST	If undefined, the method MUST only be used as a [notification](https://www.jsonrpc.org/specification#notification)	method.go:Method.Result	method_test.go:TestExamplesPreserveNullAndNotificationResultAbsence	complete
ORPC-1.4-0044	schema.json#/definitions/serverObject/properties/name/description	0	MAY	[GitHub Flavored Markdown syntax](https://github.github.com/gfm/) MAY be used for rich text representation.	metadata.go:Server.Description	metadata_test.go:TestServerPreservesRelativeURLsAndRichText	complete
ORPC-1.4-0045	schema.json#/definitions/serverObject/properties/url/description	0	MAY	This URL supports Server Variables and MAY be relative, to indicate that the host location is relative to the location where the OpenRPC document is being served.	metadata.go:NewServer	metadata_test.go:TestServerPreservesRelativeURLsAndRichText	complete
ORPC-1.4-0046	schema.json#/definitions/serverObject/properties/variables/patternProperties/[0-z]+/properties/default/description	0	SHALL	The default value to use for substitution, which SHALL be sent if an alternate value is _not_ supplied.	expression/server.go:EvaluateServer	expression/server_test.go:TestEvaluateServerUsesDefaultsAndValidatedOverrides	complete
ORPC-1.4-0047	schema.json#/definitions/specificationExtension/description	0	MAY	This object MAY be extended with [Specification Extensions](#specification-extensions).	fields.go:NewExtensions	fields_test.go:TestNewExtensionsRequiresUniquePrefixedNames	complete
ORPC-1.4-0048	schema.json#/properties/openrpc/description	0	MUST	This string MUST be the [semantic version number](https://semver.org/spec/v2.0.0.html) of the [OpenRPC Specification version](#versions) that the OpenRPC document uses.	version.go:ParseVersion	version_test.go:TestParseVersionRejectsUnsupportedOrMalformedVersions	complete
ORPC-1.4-0049	schema.json#/properties/openrpc/description	0	SHOULD	The `openrpc` field SHOULD be used by tooling specifications and clients to interpret the OpenRPC document.	version.go:ParseVersion	parse/parse_test.go:TestDecodePropagatesStrictJSONAndVersionErrors	complete
