id	implementation	evidence	status	notes
ORPC-1.4-0032	validate/validate.go:validator.validateMetadata	validate/validate_test.go:TestValidationChecksNormativeEmailAndURIFormats	complete	Terms-of-service values must be absolute URI references.
ORPC-1.4-0033	validate/validate.go:validator.validateMetadata	validate/validate_test.go:TestValidationChecksNormativeEmailAndURIFormats	complete	License URL values must be absolute URI references.
ORPC-1.4-0034	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete	Link method names must resolve to exactly one inline or referenced method.
ORPC-1.4-0035	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete	Method identity is checked after bounded reference resolution.
ORPC-1.4-0036	method.go:Method.Deprecated	method_test.go:TestMethodPreservesNormativeOptionalSemantics	complete	Method deprecation is exposed as an explicit advisory value and defaults to false only when absent.
ORPC-1.4-0037	method.go:Method.Errors	method_test.go:TestMethodPreservesNormativeOptionalSemantics	complete	Custom application errors are represented as an optional owned method collection.
ORPC-1.4-0038	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete	Error-code uniqueness is checked after bounded reference resolution.
ORPC-1.4-0039	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete	Method names are unique across inline and referenced methods.
ORPC-1.4-0040	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete	Parameter names are unique across inline and referenced descriptors.
ORPC-1.4-0041	validate/resolved.go:ResolvedDocument	validate/validate_test.go:TestResolvedDocumentAppliesSemanticRulesThroughReferences	complete	Required ordering is enforced after descriptor references are resolved.
ORPC-1.4-0042	method.go:Method.Result	method_test.go:TestMethodPreservesNormativeOptionalSemantics	complete	An explicit result is represented only by the Content Descriptor or Reference union.
ORPC-1.4-0043	method.go:Method.Result	method_test.go:TestExamplesPreserveNullAndNotificationResultAbsence	complete	Result absence is preserved and exposed as notification-only method semantics.
ORPC-1.4-0044	metadata.go:Server.Description	metadata_test.go:TestServerPreservesRelativeURLsAndRichText	complete	Server rich text is preserved verbatim for caller-owned GitHub Flavored Markdown rendering.
ORPC-1.4-0045	metadata.go:NewServer	metadata_test.go:TestServerPreservesRelativeURLsAndRichText	complete	Relative server URL templates are accepted and preserved.
ORPC-1.4-0046	expression/server.go:EvaluateServer	expression/server_test.go:TestEvaluateServerUsesDefaultsAndValidatedOverrides	complete	Server variables use their required defaults unless a validated override is supplied.
ORPC-1.4-0047	fields.go:NewExtensions	fields_test.go:TestNewExtensionsRequiresUniquePrefixedNames	complete	Every extensible model embeds the same validated specification-extension field contract.
ORPC-1.4-0048	version.go:ParseVersion	version_test.go:TestParseVersionRejectsUnsupportedOrMalformedVersions	complete	Only canonical semantic versions in the supported line are accepted.
ORPC-1.4-0049	version.go:ParseVersion	parse/parse_test.go:TestDecodePropagatesStrictJSONAndVersionErrors	complete	Parsing interprets the openrpc value through the supported feature-line contract.
