id	status	implementation	tests	documentation	notes
OAS-2.0-0018	implemented	validate/references.go	validate/references_test.go	README.md#parse-and-validate	Internal and explicitly resolved external Path Item references are checked against the referenced OpenAPI object kind.
OAS-2.0-0019	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Inline, internal, and explicitly resolved external parameters enforce unique identities and the one-body list limit.
OAS-2.0-0020	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0021	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	Swagger operation summaries of 120 or more Unicode characters produce a stable recommendation warning.
OAS-2.0-0022	implemented	validate/operations.go	validate/paths_test.go	README.md#parse-and-validate	Swagger operation identifiers are compared case-sensitively across every described operation.
OAS-2.0-0023	implemented	validate/paths.go	validate/paths_test.go	README.md#parse-and-validate	Operation identifiers are retained and checked for uniqueness across the complete owned operation inventory.
OAS-2.0-0024	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	An explicitly empty operation consumes list is accepted as an override that clears the root declaration.
OAS-2.0-0025	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	Operation consumes entries are checked as media types, including an empty override.
OAS-2.0-0026	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	An explicitly empty operation produces list is accepted as an override that clears the root declaration.
OAS-2.0-0027	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	Operation produces entries are checked as media types, including an empty override.
OAS-2.0-0028	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Inline, internal, and explicitly resolved external parameters enforce unique identities, effective body limits, and body versus formData conflicts.
OAS-2.0-0029	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	Operation schemes are restricted to http, https, ws, or wss.
OAS-2.0-0030	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0031	implemented	validate/external_docs.go	validate/external_docs_test.go	README.md#parse-and-validate	Required presence is structurally checked and every root, operation, tag, or nested Schema Object URL must be an absolute URI.
OAS-2.0-0032	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0033	implemented	validate/paths.go	validate/paths_test.go	README.md#parse-and-validate	Path parameter names are matched case-sensitively to template expressions, including explicitly resolved external references.
OAS-2.0-0034	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Every owned or explicitly resolved path Parameter Object must set required to true.
OAS-2.0-0035	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Non-path parameters accept omitted or explicitly false required values while path parameters require true.
OAS-2.0-0036	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Every non-body Parameter Object requires one of the six Swagger simple parameter types, with file location and consumes constraints checked separately.
OAS-2.0-0037	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	File parameters reached inline or through internal or explicitly resolved external references are checked against effective operation or root consumes values.
OAS-2.0-0038	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	File parameters reached inline or through internal or explicitly resolved external references are required to use formData.
OAS-2.0-0039	implemented	validate/swagger_defaults.go	validate/swagger_test.go	README.md#parse-and-validate	Swagger parameter defaults must conform to their declared primitive or array type.
OAS-2.0-0040	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0041	implemented	validate/swagger_defaults.go	validate/parameters_test.go	README.md#parse-and-validate	Nested Items Objects require one of the five permitted non-file primitive or array types.
OAS-2.0-0042	implemented	validate/swagger_defaults.go	validate/swagger_test.go	README.md#parse-and-validate	Swagger Items Object defaults are checked recursively against their declared type.
OAS-2.0-0043	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0044	implemented	validate/responses.go	validate/responses_test.go	README.md#parse-and-validate	Every operation Responses Object is checked for a default or valid HTTP response code.
OAS-2.0-0045	implemented	validate/responses.go	validate/responses_test.go	README.md#parse-and-validate	Responses without an explicit successful status are reported as recommendations.
OAS-2.0-0046	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0047	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	A file response schema without an effective produces declaration produces a stable recommendation warning.
OAS-2.0-0048	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0049	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	Response example media types reached inline or through internal or explicitly resolved external references must appear in effective produces.
OAS-2.0-0050	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	Response examples reached inline or through internal or explicitly resolved external references are checked against compilable response schemas.
OAS-2.0-0051	implemented	validate/swagger_defaults.go	validate/swagger_test.go	README.md#parse-and-validate	Swagger Header Objects require one of the five permitted non-file primitive or array types.
OAS-2.0-0052	implemented	validate/swagger_defaults.go	validate/swagger_test.go	README.md#parse-and-validate	Swagger response Header Object defaults must conform to their declared type.
OAS-2.0-0053	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0054	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0055	implemented	jsonschema/compiler.go	jsonschema/compiler_test.go	README.md#openapi-schema-objects	The Swagger 2.0 compiler recursively rejects defaults that do not conform to their declared Schema Object type.
OAS-2.0-0056	implemented	validate/schemas.go	validate/schemas_test.go	README.md#parse-and-validate	Swagger discriminator properties must be defined directly on their Schema Object.
OAS-2.0-0057	implemented	validate/schemas.go	validate/schemas_test.go	README.md#parse-and-validate	Swagger discriminator properties must appear in their Schema Object required list.
OAS-2.0-0058	implemented	validate/instance.go	validate/instance_test.go	README.md#parse-and-validate	Explicit schema-instance validation accepts the named Swagger schema or any transitive allOf descendant as a discriminator value.
OAS-2.0-0059	implemented	validate/instance.go	validate/instance_test.go	README.md#parse-and-validate	Response-direction schema-instance validation permits values for Swagger read-only properties.
OAS-2.0-0060	implemented	validate/instance.go	validate/instance_test.go	README.md#parse-and-validate	Request-direction schema-instance validation rejects present Swagger read-only properties, including nested properties and arrays.
OAS-2.0-0061	implemented	validate/schemas.go	validate/schemas_test.go	README.md#parse-and-validate	Swagger read-only properties in the containing Schema Object required list produce a stable warning.
OAS-2.0-0062	implemented	validate/schemas.go	validate/schemas_test.go	README.md#parse-and-validate	Swagger XML metadata outside a direct property Schema Object is rejected, including root and nested item schemas.
OAS-2.0-0063	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0064	implemented	validate/schemas.go	validate/schemas_test.go	README.md#parse-and-validate	Swagger discriminator properties must appear in their Schema Object required list.
OAS-2.0-0065	implemented	validate/schemas.go	validate/schemas_test.go	README.md#parse-and-validate	Swagger XML namespace values must be non-relative URI references.
OAS-2.0-0066	implemented	validate/schemas.go	validate/schemas_test.go	README.md#parse-and-validate	Swagger XML wrapped fields are restricted to array Schema Objects.
OAS-2.0-0067	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0068	implemented	validate/security.go	validate/security_test.go	README.md#parse-and-validate	OAuth authorization URL references are syntax-checked and reported as recommendations.
OAS-2.0-0069	implemented	validate/security.go	validate/security_test.go	README.md#parse-and-validate	OAuth token URL references are syntax-checked and reported as recommendations.
OAS-2.0-0070	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0071	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0072	implemented	validate/security.go	validate/security_test.go	README.md#security-requirements	Every requirement name is checked against the declared Security Definitions registry and resolved schemes drive role and scope semantics.
OAS-2.0-0073	implemented	validate/security.go	validate/security_test.go	README.md#parse-and-validate	Swagger non-OAuth security requirements reject non-empty role or scope arrays.
OAS-3.0.0-0001	implemented	validate/media_types.go	validate/media_types_test.go	README.md#parse-and-validate	Content map names are validated as RFC 6838 media types or media ranges.
OAS-3.0.0-0002	implemented	specversion/version.go	specversion/version_test.go	README.md#supported-document-lines	Every supported patch revision maps to its shared major-minor feature dialect while preserving the exact marker.
OAS-3.0.0-0003	implemented	specversion/version.go	specversion/version_test.go	README.md#supported-document-lines	Every supported patch revision maps to its shared major-minor feature dialect while preserving the exact marker.
OAS-3.0.0-0004	implemented	specversion/version.go	specversion/version_test.go	README.md#supported-document-lines	Every supported patch revision maps to its shared major-minor feature dialect while preserving the exact marker.
OAS-3.0.0-0005	implemented	convert/convert.go	convert/convert_test.go	README.md#version-conversion	Patch conversion preserves the complete semantic value except for the version marker, while cross-minor conversion is explicit and loss-aware.
OAS-3.0.0-0006	implemented	convert/convert.go	convert/convert_test.go	README.md#version-conversion	Patch conversion preserves the complete semantic value except for the version marker, while cross-minor conversion is explicit and loss-aware.
OAS-3.0.0-0007	implemented	parse/json.go	parse/json_test.go	README.md#parse-and-validate	Duplicate JSON object and YAML mapping names are rejected before patterned fields can collide.
OAS-3.0.0-0008	implemented	parse/yaml.go	parse/yaml_test.go	README.md	YAML input is constrained to the JSON-compatible YAML 1.2 semantic subset.
OAS-3.0.0-0009	implemented	parse/yaml.go	parse/yaml_test.go	README.md#parse-and-validate	Strict YAML parsing accepts only JSON-compatible scalar tags and rejects custom tags.
OAS-3.0.0-0010	implemented	parse/yaml.go	parse/yaml_test.go	README.md#parse-and-validate	Strict YAML parsing rejects every non-string mapping key.
OAS-3.0.0-0011	implemented	reference/resolve.go	reference/resolve_test.go	README.md#reference-resolution	Descriptions may be split across explicitly resolved resources without implicit I/O.
OAS-3.0.0-0012	implemented	reference/resolve.go	reference/resolve_test.go	README.md#reference-resolution	Cross-document links use bounded URI-reference and JSON Pointer resolution through explicit resolvers.
OAS-3.0.0-0013	implemented	validate/root.go	validate/root_test.go	README.md#parse-and-validate	A supplied entry-document retrieval URI warns unless its final path segment is openapi.json or openapi.yaml.
OAS-3.0.0-0014	implemented	jsonschema/compiler.go	jsonschema/compiler_test.go	README.md	Unknown format names are accepted while the underlying JSON Schema type remains enforced.
OAS-3.0.0-0015	implemented	jsonschema/compiler.go	jsonschema/compiler_test.go	README.md	Unknown format names are accepted while the underlying JSON Schema type remains enforced.
OAS-3.0.0-0016	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	Rich-text source is preserved byte-for-byte; this package does not render rich text, so the conditional CommonMark renderer requirement does not apply.
OAS-3.0.0-0017	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	Rich-text source is preserved byte-for-byte; this package does not render rich text or define extension rendering semantics.
OAS-3.0.0-0018	implemented	validate/metadata.go	validate/metadata_test.go	README.md#parse-and-validate	OpenAPI URL fields accept valid relative URI references unless a field imposes a stronger requirement.
OAS-3.0.0-0019	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated fields preserve optional absence independently from explicit null and concrete values.
OAS-3.0.0-0020	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated fields preserve optional absence independently from explicit null and concrete values.
OAS-3.0.0-0021	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated fields preserve optional absence independently from explicit null and concrete values.
OAS-3.0.0-0022	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated fields preserve optional absence independently from explicit null and concrete values.
OAS-3.0.0-0023	implemented	document.go	document_test.go	README.md#supported-document-lines	The OpenAPI marker is required for document selection.
OAS-3.0.0-0024	implemented	version.go	version_test.go	README.md#supported-document-lines	The exact supported specification version is parsed and preserved.
OAS-3.0.0-0025	implemented	document.go	document_test.go	README.md#supported-document-lines	The openapi marker selects the version-specific document model and remains available as the exact specification version.
OAS-3.0.0-0026	implemented	validate/document.go	validate/required_fields_test.go	README.md#parse-and-validate	Pinned official data-model validation rejects omission, with explicit cross-version required-field tests.
OAS-3.0.0-0027	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	Info metadata remains lossless and available to callers and tooling without package-imposed interpretation.
OAS-3.0.0-0028	implemented	validate/document.go	validate/required_fields_test.go	README.md#parse-and-validate	Pinned official data-model validation rejects omission, with explicit cross-version required-field tests.
OAS-3.0.0-0029	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	Declared and undeclared operation tags preserve source order; the package does not randomly reorganize undeclared tags.
OAS-3.0.0-0030	implemented	validate/tags.go	validate/tags_test.go	README.md#parse-and-validate	Local tag-name uniqueness is fully checked.
OAS-3.0.0-0031	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0032	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	Lossless typed Info views expose metadata to clients and documentation tools without altering its source representation.
OAS-3.0.0-0033	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	Lossless typed Info views expose metadata to clients and documentation tools without altering its source representation.
OAS-3.0.0-0034	implemented	validate/document.go	validate/required_fields_test.go	README.md#parse-and-validate	Pinned official data-model validation rejects omission, with explicit cross-version required-field tests.
OAS-3.0.0-0035	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	CommonMark source is accepted as an opaque description string and preserved losslessly without rendering.
OAS-3.0.0-0036	implemented	validate/metadata.go	validate/metadata_test.go	README.md#parse-and-validate	Terms of Service URLs must be valid URI references.
OAS-3.0.0-0037	implemented	validate/document.go	validate/required_fields_test.go	README.md#parse-and-validate	Pinned official data-model validation rejects omission, with explicit cross-version required-field tests.
OAS-3.0.0-0038	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0039	implemented	validate/metadata.go	validate/metadata_test.go	README.md#parse-and-validate	Contact URLs must be valid URI references.
OAS-3.0.0-0040	implemented	validate/metadata.go	validate/metadata_test.go	README.md#parse-and-validate	Contact emails must be address-only RFC mailboxes.
OAS-3.0.0-0041	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0042	implemented	validate/document.go	validate/required_fields_test.go	README.md#parse-and-validate	Pinned official data-model validation rejects omission, with explicit cross-version required-field tests.
OAS-3.0.0-0043	implemented	validate/metadata.go	validate/metadata_test.go	README.md#parse-and-validate	License URLs must be valid URI references.
OAS-3.0.0-0044	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0045	implemented	server/expand.go	server/expand_test.go	README.md#server-url-expansion	Server expansion requires a string URL and substitutes every declared template variable.
OAS-3.0.0-0046	implemented	server/expand.go	server/expand_test.go	README.md#server-url-expansion	Relative server URL templates are preserved and expanded without implicit URL resolution.
OAS-3.0.0-0047	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	CommonMark source is accepted as an opaque description string and preserved losslessly without rendering.
OAS-3.0.0-0048	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0049	implemented	server/expand.go	server/expand_test.go	README.md#server-url-expansion	Every expanded server variable requires a string default.
OAS-3.0.0-0050	implemented	server/expand.go	server/expand_test.go	README.md#server-url-expansion	Expansion uses the declared default unless a caller explicitly supplies an override.
OAS-3.0.0-0051	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	CommonMark source is accepted as an opaque description string and preserved losslessly without rendering.
OAS-3.0.0-0052	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0053	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0054	implemented	validate/components.go	validate/components_test.go	README.md#parse-and-validate	Every fixed Components Object registry key is checked against the normative component-name grammar.
OAS-3.0.0-0055	implemented	validate/document.go	validate/paths_test.go	README.md#parse-and-validate	Validation accepts both empty Paths Objects and empty Path Item Objects across supported revisions.
OAS-3.0.0-0056	implemented	validate/paths.go	validate/paths_test.go	README.md#parse-and-validate	Paths fields must begin with a slash unless they are specification extensions.
OAS-3.0.0-0057	implemented	validate/paths.go	validate/paths_test.go	README.md#parse-and-validate	Equivalent templated path hierarchies are rejected.
OAS-3.0.0-0058	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0059	implemented	validate/document.go	validate/paths_test.go	README.md#parse-and-validate	Validation accepts both empty Paths Objects and empty Path Item Objects across supported revisions.
OAS-3.0.0-0060	implemented	validate/references.go	validate/references_test.go	README.md#references	Path Item references require valid URI-reference syntax and resolve only to Path Item Object targets.
OAS-3.0.0-0061	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	CommonMark source is accepted as an opaque description string and preserved losslessly without rendering.
OAS-3.0.0-0062	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Inline, internal, and explicitly resolved external parameters are compared by location and name at the Path Item use site.
OAS-3.0.0-0063	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0064	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	CommonMark source is accepted as an opaque description string and preserved losslessly without rendering.
OAS-3.0.0-0065	implemented	validate/operations.go	validate/paths_test.go	README.md#parse-and-validate	Operation identifiers are compared case-sensitively across owned operations and authorized external Path Item and Callback targets.
OAS-3.0.0-0066	implemented	validate/links.go	validate/links_test.go	README.md	Link operationId values resolve case-sensitively against the document-wide operation identifier index.
OAS-3.0.0-0067	implemented	validate/paths.go	validate/paths_test.go	README.md#parse-and-validate	Non-portable operation identifiers produce an interoperability warning against the documented ASCII programming-identifier convention.
OAS-3.0.0-0068	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Inline, internal, and explicitly resolved external parameters are compared by location and name at the Operation use site.
OAS-3.0.0-0069	implemented	validate/request_bodies.go	validate/request_bodies_test.go	README.md#parse-and-validate	OpenAPI 3.0 semantic consumers exclude request bodies from every method without explicitly defined body semantics.
OAS-3.0.0-0070	implemented	validate/document.go	validate/required_fields_test.go	README.md#parse-and-validate	Pinned official data-model validation rejects omission, with explicit cross-version required-field tests.
OAS-3.0.0-0071	implemented	validate/deprecated.go	validate/deprecated_test.go	README.md#parse-and-validate	Validation emits a stable warning so consumers can refrain from using an operation declared deprecated.
OAS-3.0.0-0072	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0073	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	CommonMark source is accepted as an opaque description string and preserved losslessly without rendering.
OAS-3.0.0-0074	implemented	validate/external_docs.go	validate/external_docs_test.go	README.md#parse-and-validate	Required External Documentation Object URLs are enforced by the pinned schema.
OAS-3.0.0-0075	implemented	validate/external_docs.go	validate/external_docs_test.go	README.md#parse-and-validate	Every root, operation, tag, or nested Schema Object URL must be a valid URI reference.
OAS-3.0.0-0076	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0077	implemented	validate/document.go	validate/required_fields_test.go	README.md#parse-and-validate	Pinned official data-model validation rejects omission, with explicit cross-version required-field tests.
OAS-3.0.0-0078	implemented	validate/paths.go	validate/paths_test.go	README.md#parse-and-validate	Path parameter names are matched case-sensitively to template expressions, including explicitly resolved external references.
OAS-3.0.0-0079	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Required names, exact path-template bindings, case-sensitive identities, and complete semantic exclusion of the three ignored header parameters are enforced.
OAS-3.0.0-0080	implemented	validate/document.go	validate/required_fields_test.go	README.md#parse-and-validate	Pinned official data-model validation rejects omission, with explicit cross-version required-field tests.
OAS-3.0.0-0081	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	CommonMark source is accepted as an opaque description string and preserved losslessly without rendering.
OAS-3.0.0-0082	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Every owned or explicitly resolved path Parameter Object must set required to true.
OAS-3.0.0-0083	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Every owned or explicitly resolved path Parameter Object must set required to true.
OAS-3.0.0-0084	implemented	diff/operations.go	diff/operations_test.go	README.md#semantic-operation-diff	Non-path required absence is semantically false while explicit false remains accepted and lossless.
OAS-3.0.0-0085	implemented	validate/deprecated.go	validate/deprecated_test.go	README.md#parse-and-validate	Validation emits a stable warning for every inline or component parameter declared deprecated.
OAS-3.0.0-0086	implemented	parameter/options.go	parameter/options_test.go	README.md#parameter-serialization	OptionsFor and OptionsForResolvedSchema ignore allowEmptyValue whenever the selected style has undefined serialization for the inline or resolved shape.
OAS-3.0.0-0087	implemented	parameter/encode.go	parameter/options_test.go	README.md#parameter-serialization	Query allowReserved is version-aware, defaults false, and leaves reserved data characters unescaped without changing names.
OAS-3.0.0-0088	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	Example values are schema-checked through inline, internal, or explicitly resolved external schemas and explicitly configured codecs receive the complete Media Type Object for encoding-aware serialization.
OAS-3.0.0-0089	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	The explicit parameter example is schema-checked and overrides rather than validates the Schema Object example annotation.
OAS-3.0.0-0090	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	Every named parameter example is schema-checked and tested against its version-specific serialization strategy.
OAS-3.0.0-0091	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	Named parameter examples are schema-checked and override rather than validate the Schema Object example annotation.
OAS-3.0.0-0092	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Parameter Objects require exactly one of schema or content.
OAS-3.0.0-0093	implemented	validate/examples.go	validate/examples_test.go	README.md#parameter-serialization	Semantic values are encoded and serialized strings decoded through the declared style for inline, internal, and explicitly resolved external schemas.
OAS-3.0.0-0094	implemented	validate/parameters.go	validate/parameters_test.go	README.md#parse-and-validate	Every inline Parameter Object content map is checked for exactly one entry.
OAS-3.0.0-0095	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0096	implemented	document.go	document_test.go	README.md#typed-views-and-lossless-values	CommonMark source is accepted as an opaque description string and preserved losslessly without rendering.
OAS-3.0.0-0097	implemented	validate/document.go	validate/required_fields_test.go	README.md#parse-and-validate	Pinned official data-model validation rejects omission, with explicit cross-version required-field tests.
OAS-3.0.0-0098	implemented	oas30/model_generated.go	oas30/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-3.0.0-0099	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	Media examples are schema-checked and form-urlencoded examples reject invalid leading query delimiters.
OAS-3.0.0-0100	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	Media type example fields are exclusive, the media example overrides the schema annotation, and its value is checked against the schema.
OAS-3.0.0-0101	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	Named values and explicitly retrieved external examples are encoded or decoded through built-in JSON rules or an explicit media-type codec and checked against associated schemas.
OAS-3.0.0-0102	implemented	validate/examples.go	validate/examples_test.go	README.md#parse-and-validate	Named media examples override schema example annotations and every available value is checked against the associated schema.
OAS-3.0.0-0103	implemented	validate/media_types.go	validate/media_types_test.go	README.md#parse-and-validate	Every encoding key must match a property collected through bounded composition and authorized internal or external Schema references.
